source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Myeloids	Tcells	MIF	CD74_CXCR4	0.0414573763901375	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Stromalcells	Tcells	MIF	CD74_CXCR4	0.0694479454882767	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Epithelialcells	Bcells	MIF	CD74_CD44	0.0651019953053154	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Stromalcells	Bcells	MIF	CD74_CD44	0.0565064886005882	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Bcells	Myeloids	MIF	CD74_CD44	0.0408940717833503	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Epithelialcells	Myeloids	MIF	CD74_CD44	0.113653020293783	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Myeloids	Myeloids	MIF	CD74_CD44	0.0600720909237345	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Stromalcells	Myeloids	MIF	CD74_CD44	0.0993283129366083	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Epithelialcells	Tcells	MIF	CD74_CD44	0.0614463453493838	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Stromalcells	Tcells	MIF	CD74_CD44	0.0533059788570702	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Myeloids	Epithelialcells	TNF	TNFRSF1A	0.000805377303266317	0	TNF_TNFRSF1A	TNF - TNFRSF1A	TNF	Secreted Signaling	KEGG: hsa04060
Myeloids	Myeloids	TNF	TNFRSF1A	0.000907100420562087	0	TNF_TNFRSF1A	TNF - TNFRSF1A	TNF	Secreted Signaling	KEGG: hsa04060
Myeloids	Stromalcells	TNF	TNFRSF1A	0.00442465256660343	0	TNF_TNFRSF1A	TNF - TNFRSF1A	TNF	Secreted Signaling	KEGG: hsa04060
Myeloids	Myeloids	TNF	TNFRSF1B	0.00236702166238673	0	TNF_TNFRSF1B	TNF - TNFRSF1B	TNF	Secreted Signaling	KEGG: hsa04060
Myeloids	Tcells	TNF	TNFRSF1B	0.00255472400083017	0	TNF_TNFRSF1B	TNF - TNFRSF1B	TNF	Secreted Signaling	KEGG: hsa04060
Myeloids	Bcells	TNFSF13B	TNFRSF17	0.00116045332506321	0	TNFSF13B_TNFRSF17	TNFSF13B - TNFRSF17	BAFF	Secreted Signaling	KEGG: hsa04060
Myeloids	Bcells	TNFSF13B	TNFRSF13C	0.00185758368040586	0	TNFSF13B_TNFRSF13C	TNFSF13B - TNFRSF13C	BAFF	Secreted Signaling	KEGG: hsa04060
Myeloids	Bcells	SPP1	CD44	0.014439523056673	0	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Epithelialcells	SPP1	CD44	0.0110856084112745	0	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Myeloids	SPP1	CD44	0.0410353523803817	0	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Stromalcells	SPP1	CD44	0.0120161171635452	0	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Tcells	SPP1	CD44	0.0253251676548756	0	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Stromalcells	SPP1	ITGAV_ITGB1	0.0166220041524043	0	SPP1_ITGAV_ITGB1	SPP1 - (ITGAV+ITGB1)	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Stromalcells	SPP1	ITGAV_ITGB5	0.00510019506849312	0	SPP1_ITGAV_ITGB5	SPP1 - (ITGAV+ITGB5)	SPP1	Secreted Signaling	PMID: 21907263
Myeloids	Stromalcells	SPP1	ITGA5_ITGB1	0.0184464969663819	0	SPP1_ITGA5_ITGB1	SPP1 - (ITGA5+ITGB1)	SPP1	Secreted Signaling	PMID: 21907263
Bcells	Epithelialcells	NAMPT	INSR	0.000139806364134225	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Epithelialcells	Epithelialcells	NAMPT	INSR	0.000930075178768013	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Myeloids	Epithelialcells	NAMPT	INSR	0.00491988711091198	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Stromalcells	Epithelialcells	NAMPT	INSR	0.00159645848028361	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Tcells	Epithelialcells	NAMPT	INSR	0.000808191374688663	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Bcells	Stromalcells	NAMPT	INSR	0.000264935007927175	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Epithelialcells	Stromalcells	NAMPT	INSR	0.0017612595064548	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Myeloids	Stromalcells	NAMPT	INSR	0.00928353190242735	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Stromalcells	Stromalcells	NAMPT	INSR	0.00302137147815511	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Tcells	Stromalcells	NAMPT	INSR	0.00153061815031816	0	NAMPT_INSR	NAMPT - INSR	VISFATIN	Secreted Signaling	PMID: 28490838
Bcells	Stromalcells	NAMPT	ITGA5_ITGB1	0.00166315359057203	0	NAMPT_ITGA5_ITGB1	NAMPT - (ITGA5+ITGB1)	VISFATIN	Secreted Signaling	PMID: 28490838
Epithelialcells	Stromalcells	NAMPT	ITGA5_ITGB1	0.0109698151602541	0	NAMPT_ITGA5_ITGB1	NAMPT - (ITGA5+ITGB1)	VISFATIN	Secreted Signaling	PMID: 28490838
Myeloids	Stromalcells	NAMPT	ITGA5_ITGB1	0.0556297348510925	0	NAMPT_ITGA5_ITGB1	NAMPT - (ITGA5+ITGB1)	VISFATIN	Secreted Signaling	PMID: 28490838
Stromalcells	Stromalcells	NAMPT	ITGA5_ITGB1	0.0186949008237288	0	NAMPT_ITGA5_ITGB1	NAMPT - (ITGA5+ITGB1)	VISFATIN	Secreted Signaling	PMID: 28490838
Tcells	Stromalcells	NAMPT	ITGA5_ITGB1	0.00954482056137714	0	NAMPT_ITGA5_ITGB1	NAMPT - (ITGA5+ITGB1)	VISFATIN	Secreted Signaling	PMID: 28490838
Stromalcells	Stromalcells	ANGPTL2	ITGA5_ITGB1	0.00655604867735445	0	ANGPTL2_ITGA5_ITGB1	ANGPTL2 - (ITGA5+ITGB1)	ANGPTL	Secreted Signaling	PMID: 24478758
Epithelialcells	Bcells	MDK	SDC1	0.00157368969964936	0	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Bcells	MDK	SDC1	0.00145354718266477	0	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Epithelialcells	MDK	SDC1	0.00709770464311761	0	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Epithelialcells	MDK	SDC1	0.00655860440159561	0	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Myeloids	MDK	SDC2	0.0034066953639794	0	MDK_SDC2	MDK - SDC2	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Myeloids	MDK	SDC2	0.00314705408077056	0	MDK_SDC2	MDK - SDC2	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Stromalcells	MDK	SDC2	0.0138695585881535	0	MDK_SDC2	MDK - SDC2	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Stromalcells	MDK	SDC2	0.0128227503584541	0	MDK_SDC2	MDK - SDC2	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Epithelialcells	MDK	SDC4	0.01360107350974	0	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Epithelialcells	MDK	SDC4	0.0125742708666778	0	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Myeloids	MDK	SDC4	0.00253315903449932	0	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Myeloids	MDK	SDC4	0.00233993800405374	0	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Epithelialcells	MDK	ITGA6_ITGB1	0.0111267259471181	0	MDK_ITGA6_ITGB1	MDK - (ITGA6+ITGB1)	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Epithelialcells	MDK	ITGA6_ITGB1	0.0102847746051573	0	MDK_ITGA6_ITGB1	MDK - (ITGA6+ITGB1)	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Stromalcells	MDK	LRP1	0.00480747878032105	0	MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Stromalcells	MDK	LRP1	0.0044415525948755	0	MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Bcells	MDK	NCL	0.00996917216807233	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Bcells	MDK	NCL	0.00921399594065149	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Epithelialcells	MDK	NCL	0.0225120339230463	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Epithelialcells	MDK	NCL	0.020826708997649	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Myeloids	MDK	NCL	0.00589633174460664	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Myeloids	MDK	NCL	0.00544798010255374	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Stromalcells	MDK	NCL	0.0161653155657581	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Stromalcells	MDK	NCL	0.0149478610187105	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Epithelialcells	Tcells	MDK	NCL	0.00927392528887602	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Tcells	MDK	NCL	0.00857095886875285	0	MDK_NCL	MDK - NCL	MK	Secreted Signaling	PMID: 28356350
Stromalcells	Stromalcells	POSTN	ITGAV_ITGB5	0.00738716479991779	0	POSTN_ITGAV_ITGB5	POSTN - (ITGAV+ITGB5)	PERIOSTIN	Secreted Signaling	PMID: 26721738
Stromalcells	Myeloids	C3	C3AR1	0.000853228352104967	0	C3_C3AR1	C3 - C3AR1	COMPLEMENT	Secreted Signaling	KEGG: hsa04080
Stromalcells	Myeloids	C3	ITGAX_ITGB2	0.00329441408799561	0	C3_ITGAX_ITGB2	C3 - (ITGAX+ITGB2)	COMPLEMENT	Secreted Signaling	PMID: 16234578
Epithelialcells	Stromalcells	EDN1	EDNRA	0.00107428132587077	0	EDN1_EDNRA	EDN1 - EDNRA	EDN	Secreted Signaling	KEGG: hsa04080
Epithelialcells	Stromalcells	PRSS3	F2R	0.00617238044576209	0	PRSS3_F2R	PRSS3 - F2R	PARs	Secreted Signaling	KEGG: hsa04080
Tcells	Stromalcells	GZMA	F2R	0.00421282945376939	0	GZMA_F2R	GZMA - F2R	PARs	Secreted Signaling	KEGG: hsa04080
Epithelialcells	Epithelialcells	PRSS3	F2RL1	0.0035158362392937	0	PRSS3_F2RL1	PRSS3 - F2RL1	PARs	Secreted Signaling	KEGG: hsa04080
Tcells	Epithelialcells	GZMA	F2RL1	0.00239762599107996	0	GZMA_F2RL1	GZMA - F2RL1	PARs	Secreted Signaling	KEGG: hsa04080
Epithelialcells	Myeloids	ANXA1	FPR1	0.0015395689205498	0	ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	PMID: 23230437
Myeloids	Myeloids	ANXA1	FPR1	0.00714058101851719	0	ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	PMID: 23230437
Stromalcells	Myeloids	ANXA1	FPR1	0.00701034459227356	0	ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	PMID: 23230437
Tcells	Myeloids	ANXA1	FPR1	0.00328121456108016	0	ANXA1_FPR1	ANXA1 - FPR1	ANNEXIN	Secreted Signaling	PMID: 23230437
Epithelialcells	Stromalcells	GAS6	AXL	0.000906559426258955	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
Stromalcells	Stromalcells	GAS6	AXL	0.00124955541424316	0	GAS6_AXL	GAS6 - AXL	GAS	Secreted Signaling	PMID: 27801848
Bcells	Epithelialcells	GRN	SORT1	0.000155073242207327	0	GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	PMID: 29555433
Epithelialcells	Epithelialcells	GRN	SORT1	0.000570809644250571	0	GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	PMID: 29555433
Myeloids	Epithelialcells	GRN	SORT1	0.0015005528732763	0	GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	PMID: 29555433
Stromalcells	Epithelialcells	GRN	SORT1	0.00107105334933595	0	GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	PMID: 29555433
Epithelialcells	Bcells	LGALS9	PTPRC	0.00104216040816969	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Myeloids	Bcells	LGALS9	PTPRC	0.00106162085258505	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Epithelialcells	Myeloids	LGALS9	PTPRC	0.0041072399804886	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Myeloids	Myeloids	LGALS9	PTPRC	0.00418369549165469	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Stromalcells	Myeloids	LGALS9	PTPRC	0.00178207895588134	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Epithelialcells	Tcells	LGALS9	PTPRC	0.0100597621827167	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Myeloids	Tcells	LGALS9	PTPRC	0.010245882813465	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Stromalcells	Tcells	LGALS9	PTPRC	0.00437962160392054	0	LGALS9_CD45	LGALS9 - CD45	GALECTIN	Secreted Signaling	PMID: 30120235
Epithelialcells	Myeloids	LGALS9	HAVCR2	0.00102416455535534	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
Myeloids	Myeloids	LGALS9	HAVCR2	0.00104328931100151	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
Stromalcells	Myeloids	LGALS9	HAVCR2	0.000443594487570414	0	LGALS9_HAVCR2	LGALS9 - HAVCR2	GALECTIN	Secreted Signaling	PMID: 27192565
Epithelialcells	Bcells	LGALS9	CD44	0.00531696982754422	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Myeloids	Bcells	LGALS9	CD44	0.0054158217743402	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Epithelialcells	Epithelialcells	LGALS9	CD44	0.00407322277284061	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Myeloids	Epithelialcells	LGALS9	CD44	0.00414904769810173	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Epithelialcells	Myeloids	LGALS9	CD44	0.0153722541911232	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Myeloids	Myeloids	LGALS9	CD44	0.0156551094992708	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Stromalcells	Myeloids	LGALS9	CD44	0.00671281065604357	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Epithelialcells	Stromalcells	LGALS9	CD44	0.00441775224302683	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Myeloids	Stromalcells	LGALS9	CD44	0.00449996176479482	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Epithelialcells	Tcells	LGALS9	CD44	0.00939084841889528	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Myeloids	Tcells	LGALS9	CD44	0.00956471272044529	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Stromalcells	Tcells	LGALS9	CD44	0.00408684380503303	0	LGALS9_CD44	LGALS9 - CD44	GALECTIN	Secreted Signaling	PMID: 25065622
Stromalcells	Stromalcells	COL1A1	ITGA1_ITGB1	0.0446211459518717	0	COL1A1_ITGA1_ITGB1	COL1A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL1A2	ITGA1_ITGB1	0.0435080477832362	0	COL1A2_ITGA1_ITGB1	COL1A2 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL4A1	ITGA1_ITGB1	0.0198536377196483	0	COL4A1_ITGA1_ITGB1	COL4A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL4A2	ITGA1_ITGB1	0.0205780999262847	0	COL4A2_ITGA1_ITGB1	COL4A2 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL6A1	ITGA1_ITGB1	0.0261835300622265	0	COL6A1_ITGA1_ITGB1	COL6A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL6A2	ITGA1_ITGB1	0.0342034832296059	0	COL6A2_ITGA1_ITGB1	COL6A2 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	COL6A3	ITGA1_ITGB1	0.0212036019738523	0	COL6A3_ITGA1_ITGB1	COL6A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL1A1	ITGA2_ITGB1	0.016853217424969	0	COL1A1_ITGA2_ITGB1	COL1A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL1A2	ITGA2_ITGB1	0.0164208991999146	0	COL1A2_ITGA2_ITGB1	COL1A2 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL4A1	ITGA2_ITGB1	0.00737958146407241	0	COL4A1_ITGA2_ITGB1	COL4A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL4A2	ITGA2_ITGB1	0.00765241727843887	0	COL4A2_ITGA2_ITGB1	COL4A2 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL6A1	ITGA2_ITGB1	0.00977204885894967	0	COL6A1_ITGA2_ITGB1	COL6A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL6A2	ITGA2_ITGB1	0.012831439577946	0	COL6A2_ITGA2_ITGB1	COL6A2 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	COL6A3	ITGA2_ITGB1	0.00788818826744027	0	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	FN1	ITGA3_ITGB1	0.00611439019030844	0	FN1_ITGA3_ITGB1	FN1 - (ITGA3+ITGB1)	FN1	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	FN1	ITGA5_ITGB1	0.0359679275965577	0	FN1_ITGA5_ITGB1	FN1 - (ITGA5+ITGB1)	FN1	ECM-Receptor	KEGG: hsa04512
Epithelialcells	Stromalcells	LAMA3	ITGA1_ITGB1	0.00177062894667995	0	LAMA3_ITGA1_ITGB1	LAMA3 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	LAMA4	ITGA1_ITGB1	0.0113439639418162	0	LAMA4_ITGA1_ITGB1	LAMA4 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	LAMB1	ITGA1_ITGB1	0.00599337007577749	0	LAMB1_ITGA1_ITGB1	LAMB1 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	LAMB2	ITGA1_ITGB1	0.00299152618726467	0	LAMB2_ITGA1_ITGB1	LAMB2 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelialcells	Stromalcells	LAMB3	ITGA1_ITGB1	0.0058086804666545	0	LAMB3_ITGA1_ITGB1	LAMB3 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Stromalcells	LAMC1	ITGA1_ITGB1	0.00914687768838823	0	LAMC1_ITGA1_ITGB1	LAMC1 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelialcells	Stromalcells	LAMC2	ITGA1_ITGB1	0.00224492686013673	0	LAMC2_ITGA1_ITGB1	LAMC2 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelialcells	Epithelialcells	LAMA3	ITGA2_ITGB1	0.000650599819424632	0	LAMA3_ITGA2_ITGB1	LAMA3 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	LAMA4	ITGA2_ITGB1	0.0041936662629227	0	LAMA4_ITGA2_ITGB1	LAMA4 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	LAMB1	ITGA2_ITGB1	0.00220811226040149	0	LAMB1_ITGA2_ITGB1	LAMB1 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Stromalcells	Epithelialcells	LAMB2	ITGA2_ITGB1	0.0011000573169223	0	LAMB2_ITGA2_ITGB1	LAMB2 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
