id	t	df	p.value	Mean non	Mean response	Var non	Var response
C9orf3	-3.53793101918292	34.2692709921262	0.00118159680777364	281.4714	381.0178	13250.429	 7027.555
PRMT3	2.95581275020923	31.6027101032564	0.0058520789772918	264.8115	202.5116	6772.282	4185.990
MTCL1	-2.55832996876626	25.1466666958138	0.0169174934077376	119.0304	158.0624	2589.413	2544.215
KAZN	-2.51148018904464	30.7418880125859	0.0174936381611492	160.9745	192.3595	2302.226	1500.196
MUC1	-2.49007777059491	35.2130212623228	0.0176372601486633	1296.519	1445.692	61895.06	31188.09
GPR161	-3.60618073143941	40.5300495070062	0.000843118281794402	36.36595	54.87577	527.2380	202.2934
MUC5AC	-2.27457156600964	24.5238313886559	0.0319513139409513	279.4760	294.7228	479.5310	498.5514
TOX3	2.62749042707011	30.6477009443571	0.0133120457261325	1221.311	1008.790	96081.82	62980.12
FCGR1A	-0.53041912776109	23.930963391784	0.60070925937677	8.065455	8.185115	0.5206484	0.5729202
MAP4K3	-1.49594219531903	25.8287463937147	0.146788740303508	 99.77375	116.74065	1492.986	1383.384
MST4	3.42085011262319	39.2033408325003	0.00147196230349666	474.2315	390.7628	11509.502	 4719.602
PARP12	-2.46347481323966	26.5814630314998	0.0205326360046336	316.8850	394.2896	11968.03	10430.56
MOSPD1	2.43246058493332	26.7385982084896	0.0219743455382216	214.7199	169.2945	4264.499	3670.956
ASRGL1	-2.34334040381423	31.6975787343839	0.025552091421196	463.9822	589.5773	43948.43	27010.26
USP18	-2.50074297797215	22.9621566991942	0.0199748568046861	129.1177	136.1778	75.56964	91.91108
RNF128	4.03499767333832	34.0859363436511	0.000291917123812133	1027.5919	 844.3154	34324.39	18389.29
PXMP4	2.47573591017013	26.2240175787605	0.0200685084280194	316.7918	277.8114	2944.857	2641.182
CEP72	2.49919129083685	33.0836938721161	0.0175865476713045	80.22049	65.02409	594.6733	337.0286
RNF39	3.18726842089356	25.6910734017121	0.00375270895338709	82.01929	71.33171	129.4164	121.3127
FAM122B	3.07867800856783	29.8228793771167	0.00443434341484298	527.3202	430.6008	14007.776	 9679.592
ANKH	3.1517878144296	30.6454285706214	0.003613622303534	1481.212	1328.056	34676.31	22733.02
FKBP5	-2.26657331018958	25.6316833047484	0.0320963189975609	333.4898	340.3154	104.00086	 97.98069
SMAD5	-1.91552920349293	27.0544453640614	0.0660503926053764	352.0898	398.6437	7347.320	6171.826
ELOVL7	-2.62674098474224	25.3159745403518	0.014429954450364	388.4312	475.6375	12394.42	11998.50
ACER3	-1.97652374827077	25.2184666059182	0.0591289501205968	436.7835	536.6758	28545.21	27870.11
S100A16	-3.3912638140263	47.4762104581457	0.00141015808913879	1981.239	2127.550	44133.22	11774.29
EPB41L5	2.47416708643253	39.5542138618102	0.0177464049377215	143.3457	132.5583	370.9187	149.4423
LINC00920	1.80988129232502	23.8147524386659	0.0829531566837075	55.18361	47.22213	196.2527	218.4544
PDZD8	2.04746221505462	28.3712334071031	0.0499726195394244	404.9026	379.9117	1980.478	1510.153
PARD6B	3.32171635867673	36.5468724605241	0.00203899765930981	184.7642	152.6096	1682.3694	 790.0677
SLC19A3	2.23917361845514	25.9293114978032	0.0339434403615186	37.33046	30.31475	114.6186	105.3176
CELSR3	2.18874805682962	24.0683949690385	0.0385512491335458	142.4805	119.1724	1171.867	1272.305
