id	S01	p.value_S01	S02	p.value_S02	S03	p.value_S03	S04	p.value_S04	S05	p.value_S05	S06	p.value_S06
Myeloids_EMP1	0.210711614	0.119040019	0.024739033	0.856381615	0.465286618	0.000302374	0.219237785	0.104495292	0.021542281	0.874779917	-0.321672819	0.015626581
Myeloids_COL6A3	-0.062077888	0.649462099	0.247043101	0.066421262	0.700128011	1.91E-09	0.28681004	0.032102607	-0.407767857	0.001812015	0.018808039	0.890569095
Myeloids_PRCP	-0.35023781	0.008139765	0.558568667	7.69E-06	0.490940242	0.000122215	0.026396085	0.846873898	-0.02438564	0.858411959	0.016836769	0.901978989
Myeloids_PPP4R1	-0.219460495	0.104134652	0.466518517	0.000289969	0.398805563	0.00233087	-0.056925578	0.676881583	0.11870798	0.383546556	-0.144885855	0.286692056
Myeloids_SH3BP5	-0.336293809	0.011273276	0.665539176	2.19E-08	0.427219321	0.001023969	0.182017619	0.179394912	-0.089341	0.512597135	-0.038638187	0.777386979
Myeloids_CTSL	0.106717469	0.433728242	0.17644997	0.193298347	0.538024303	1.90E-05	0.417179052	0.001380593	-0.113005787	0.406965439	-0.334308604	0.011794785
Myeloids_ARL4C	-0.128544986	0.345082051	0.344892219	0.009237665	0.692470784	3.38E-09	0.158375178	0.24368886	-0.126731797	0.351985964	-0.204160781	0.131225275
Myeloids_PCOLCE	0.043136239	0.752254195	0.212447529	0.115960279	0.665153836	2.25E-08	0.383786415	0.003501046	-0.382152452	0.003655391	-0.267396275	0.046335962
Myeloids_UPP1	-0.30514524	0.02220545	0.038037044	0.780763706	-0.473071067	0.000231431	-0.252786889	0.060152713	0.032079452	0.814436481	0.412026163	0.001603784
Myeloids_PLEK	-0.006611297	0.96143009	0.214734405	0.111996424	0.500527576	8.55E-05	0.318976312	0.016569562	-0.21317685	0.114684676	-0.23598631	0.079954024
Myeloids_HMOX1	0.114029126	0.402702657	0.151296111	0.265672956	0.423805293	0.00113465	0.239378822	0.075588424	0.050118675	0.713749266	-0.357714454	0.00679529
Myeloids_IGFBP6	-0.077301965	0.571206015	0.421492137	0.00121563	0.520337624	3.95E-05	0.232249595	0.084990484	-0.338691336	0.01067008	-0.026438023	0.846633543
Myeloids_CYBB	-0.429230335	0.000963413	0.528069155	2.88E-05	0.439933148	0.000692075	0.165496334	0.222861269	-0.043517985	0.750132496	0.06083907	0.656014524
Myeloids_COL7A1	0.21748631	0.107365193	-0.059600744	0.662590151	0.700199262	1.90E-09	0.415571655	0.001447027	-0.512095761	5.48E-05	-0.118155583	0.385779506
Myeloids_FCER1G	0.118056925	0.386179122	0.335650873	0.011439952	0.437229355	0.000753162	0.376932362	0.004189528	-0.127906573	0.347503241	-0.267944749	0.045872709
Myeloids_ISG20	0.182869133	0.177333941	0.08790246	0.519436483	0.240377837	0.074339554	0.389988751	0.002966323	0.279493664	0.036966031	-0.514488438	4.98E-05
Myeloids_EML1	-0.279601324	0.03689028	0.59061905	1.65E-06	0.592364221	1.51E-06	0.10935586	0.422380949	-0.104353428	0.444039466	-0.004475432	0.973885243
Myeloids_TFF1	0.013595269	0.920782895	0.151496896	0.265031701	0.148800827	0.273728878	0.083303545	0.541604185	0.249444792	0.063739359	-0.223108836	0.098362616
Myeloids_PDGFRL	-0.196645721	0.14633554	0.485959109	0.000146542	0.478568425	0.000190867	0.062808029	0.645612471	0.207051651	0.12573696	-0.328884918	0.013326843
Myeloids_KCNJ8	-0.140456542	0.301836373	0.250847132	0.062214047	0.556300945	8.52E-06	0.173181173	0.201810883	-0.35512879	0.007236499	0.022436816	0.869624526
Myeloids_OASL	0.291255832	0.029416652	-0.123226714	0.365570873	0.192911377	0.154308611	0.447717201	0.000540368	-0.138011762	0.310412963	-0.31591308	0.0176993
Myeloids_TFEC	-0.3130555	0.018811688	0.521067791	3.83E-05	0.416761426	0.001397585	0.35381348	0.007470375	-0.218947696	0.104966485	0.084512495	0.535732629
Myeloids_PTGFR	-0.331459003	0.012579648	0.584855846	2.21E-06	0.422041915	0.001195927	0.007080359	0.95869591	-0.180778672	0.182424436	0.062506251	0.647202466
Myeloids_TUBB6	-0.043781022	0.748671633	0.370714104	0.004914664	0.648504685	6.50E-08	0.233574916	0.083176395	-0.271116549	0.043267534	-0.054770867	0.688475702
Myeloids_IFI35	-0.238251656	0.077017414	0.053569999	0.694968581	-0.058694178	0.667420217	-0.540946825	1.68E-05	-0.137976959	0.310536175	0.298934936	0.02522002
Myeloids_RGL1	0.389207946	0.00302939	-0.608782333	6.42E-07	-0.425907475	0.001065295	-0.169929796	0.210538236	0.104656127	0.442711641	-0.078417144	0.565649399
Myeloids_BLVRA	0.057946339	0.671414722	0.315623666	0.017809351	0.287141103	0.031895793	0.332775506	0.012211631	-0.170664558	0.208543158	-0.215745596	0.110277199
Myeloids_IGFBP5	-0.226125062	0.093780816	0.380435738	0.003823999	0.592184698	1.53E-06	-0.008973769	0.94766427	-0.017319558	0.899182655	-0.036511174	0.78935271
Myeloids_PXDN	-0.145177502	0.285712704	0.249072669	0.064149111	0.689928869	4.06E-09	0.155836647	0.251424739	-0.272764854	0.041962426	0.086619317	0.5255754
Myeloids_LHFPL2	-0.036160291	0.791331366	-0.26494221	0.048455832	0.165261264	0.223528372	-0.13736176	0.312719301	-0.281863392	0.035328137	0.110082818	0.419284399
Myeloids_C9orf3	-0.062343607	0.648060052	0.172155453	0.204535981	0.514604374	4.96E-05	0.136329248	0.316405349	-0.144735058	0.287199299	-0.048052566	0.72507424
Myeloids_AHNAK2	0.095916173	0.481927451	0.172896773	0.202563877	0.499425071	8.91E-05	0.16682626	0.219113158	-0.26215323	0.050960419	-0.204378384	0.130805977
Myeloids_ANGPTL2	0.024467758	0.857940087	0.254258976	0.058625384	0.688019411	4.66E-09	0.270563222	0.043713053	-0.385571735	0.003339018	-0.14368564	0.290745559
Myeloids_LPPR4	-0.434062113	0.000830878	0.489053	0.00013096	0.590221205	1.69E-06	-0.011984092	0.930146007	-0.249065999	0.064156476	0.235987397	0.079952595
Myeloids_HLX	-0.168987427	0.213116619	0.479240986	0.000186378	0.485255003	0.000150317	0.163073079	0.229804853	-0.083188213	0.542165947	-0.099655981	0.464926346
Myeloids_FCGR1B	-0.021675417	0.874012295	0.296346215	0.02657458	0.586570188	2.03E-06	0.475527401	0.000212423	-0.35898617	0.006587042	-0.189181019	0.162588977
Myeloids_CD163	-0.291682422	0.029169109	0.597481167	1.17E-06	0.435222303	0.000801608	0.318304288	0.016811992	-0.009646915	0.943744539	-0.225328108	0.094974936
Myeloids_AIF1	-0.039042276	0.775119433	0.430351734	0.000931063	0.308374682	0.020762121	0.24625142	0.067324847	0.013553455	0.921025764	-0.230697852	0.087153856
Myeloids_RAB31	-0.003112614	0.981835844	0.276462997	0.039151835	0.722486554	3.26E-10	0.378757403	0.003995439	-0.346239316	0.00894954	-0.143991239	0.289709916
Myeloids_SOBP	-0.414564933	0.001490079	0.564323516	5.90E-06	0.523696488	3.44E-05	0.126361204	0.353407425	-0.067186174	0.622724975	0.071693798	0.599525377
Myeloids_ADAP2	0.32244888	0.015363844	-0.552890479	9.93E-06	-0.50531002	7.12E-05	-0.222751795	0.098916282	-0.016574264	0.903499932	0.120823482	0.375066469
Myeloids_SLAMF8	-0.195732126	0.148257209	0.476344423	0.000206423	0.435542581	0.000793694	0.44244737	0.000639325	-0.096503033	0.479238056	-0.170684878	0.208488171
Myeloids_TMEM45A	-0.327448587	0.013760113	0.572116457	4.10E-06	0.496545163	9.93E-05	0.143899767	0.290019653	-0.096144146	0.480881779	0.015665232	0.908769444
Myeloids_AGPAT4	0.055616698	0.68391577	0.169062745	0.212909733	0.447896419	0.000537261	0.242921052	0.071234155	-0.166205819	0.220856227	-0.073698086	0.589333535
Myeloids_PILRA	0.132941985	0.328691496	0.261305714	0.051742051	0.402688396	0.002091738	0.385637777	0.003333154	-0.240930657	0.073655549	-0.285348757	0.033028857
Myeloids_MS4A7	-0.36053445	0.00634105	0.593050029	1.46E-06	0.275047749	0.040208495	0.077987455	0.567787425	0.144617314	0.287595769	-0.051668332	0.705295016
Myeloids_PARVG	0.269258106	0.044778812	-0.545818708	1.36E-05	-0.353981959	0.007440055	-0.220912359	0.101807112	0.144746003	0.287162462	0.000298212	0.998259594
Myeloids_ADAMTS2	0.06366184	0.641122476	0.08320294	0.542094198	0.694103665	2.99E-09	0.399687727	0.002274502	-0.604676015	8.00E-07	-0.002404294	0.985968881
Myeloids_PIK3AP1	-0.203998563	0.13153851	0.462141905	0.00033626	0.276235643	0.039320021	0.361910436	0.006129213	-0.069219685	0.612212072	-0.101693043	0.455804139
Myeloids_BCAT1	-0.114409924	0.401123081	0.357411226	0.006845786	0.650433212	5.77E-08	0.174821393	0.197506842	-0.395041722	0.002585588	0.015805395	0.907956681
Myeloids_CD109	-0.273438696	0.041438294	0.554548535	9.22E-06	0.656458254	3.95E-08	0.122025318	0.370299427	-0.170175236	0.209870312	-0.000726685	0.995758979
Myeloids_PRRX1	-0.153582434	0.258432337	0.441728628	0.000654021	0.716354079	5.38E-10	0.329037698	0.013281454	-0.364998404	0.005676221	-0.112904765	0.407387668
Myeloids_FAM20C	-0.101468234	0.456806031	0.472216231	0.000238402	0.615011673	4.58E-07	0.31519024	0.017975252	-0.154383011	0.255928697	-0.205456019	0.128744359
Myeloids_FAM20A	-0.076267452	0.576383158	0.333940119	0.011893839	0.345782123	0.00904644	0.18644344	0.168869696	-0.356445939	0.007008719	-0.191107624	0.158272682
Myeloids_ASPHD2	-0.048635638	0.721872199	0.215777266	0.110223682	0.071371696	0.601170477	0.247605667	0.065785098	0.082955031	0.543302602	-0.037206124	0.785437739
Myeloids_GPX8	-0.110218296	0.418708757	0.240317874	0.074414048	0.535287116	2.13E-05	0.142384527	0.295181942	0.031822781	0.815895195	-0.107053174	0.432274991
Myeloids_PIK3R5	-0.143950913	0.28984644	0.451865494	0.000472465	0.49326366	0.000112185	0.263355342	0.049868264	-0.233477756	0.083308344	-0.131555671	0.333805393
Myeloids_FAM65C	-0.263901167	0.049378701	0.458615139	0.000378343	0.447570283	0.000542928	0.14717445	0.27906602	-0.172971753	0.202365162	0.152071614	0.263201937
Myeloids_MRGPRF	-0.307631892	0.021086856	0.689755184	4.11E-09	0.459004744	0.00037347	0.06252419	0.647107909	-0.006344139	0.962987567	-0.089594402	0.511397116
Myeloids_DDX60L	-0.273570282	0.041336574	0.447516486	0.000543867	0.408956624	0.001751583	0.050339232	0.712543891	0.176381591	0.193473748	-0.047883705	0.726002446
Myeloids_TWIST2	-0.191194391	0.158080298	0.589100595	1.79E-06	0.473245502	0.000230032	0.106973807	0.432618323	-0.210795127	0.118890443	0.04161029	0.760753276
Myeloids_IFIT3	-0.001203325	0.992977304	0.055918989	0.682288799	0.457054928	0.000398443	0.65427779	4.53E-08	-0.315634383	0.017805265	-0.115202772	0.397845929
Myeloids_MS4A14	-0.132117513	0.331726865	0.435368547	0.000797986	0.4379925	0.000735446	0.25504708	0.05782066	-0.011266423	0.93431973	-0.283234137	0.034408508
Myeloids_GBP5	-0.027823789	0.838699398	0.230311356	0.087699353	0.387806993	0.003145532	0.493485174	0.000111269	-0.273229593	0.041600359	-0.095295797	0.484779098
Myeloids_GAS2L1	-0.165575926	0.222635708	0.301219346	0.02407339	0.134164732	0.324222174	0.220031597	0.103214242	0.003333852	0.980545013	-0.101506067	0.456637342
Myeloids_PI3	0.330001843	0.012998071	-0.099905463	0.463803864	0.004934939	0.971205035	0.288203862	0.031239378	0.238367254	0.076869884	-0.417533447	0.001366319
Stromal_NREP	-0.2571412	0.055725662	0.456527107	0.000405459	0.525680072	3.18E-05	0.103620779	0.447262441	-0.310718578	0.019765046	0.161537526	0.234281449
Stromal_PRCP	0.28594047	0.03265115	-0.483303035	0.000161253	-0.425408789	0.001081393	0.012113681	0.929392554	0.041417459	0.761829311	-0.094619938	0.487895859
Stromal_COL1A2	-0.045298613	0.740260458	0.131918095	0.332463677	0.6633024	2.54E-08	0.223531847	0.097709766	-0.488353727	0.000134343	0.134144555	0.324295613
Stromal_LOXL1	-0.065032875	0.633939201	0.279747224	0.036787828	0.569389101	4.66E-06	0.295580918	0.02698653	-0.127701057	0.348284893	-0.257055477	0.055810198
Stromal_PRKAR2B	-0.502728728	7.86E-05	0.709589816	9.22E-10	0.094139699	0.490116879	0.069758994	0.609436787	0.260698127	0.052308383	-0.064869224	0.634794876
Stromal_VASH1	-0.183575388	0.175637595	0.487841285	0.000136872	0.511858151	5.53E-05	0.173995465	0.199665896	-0.242362103	0.071907644	-0.021953259	0.872410714
Stromal_MAOB	-0.382097044	0.003660729	0.729211007	1.85E-10	0.173025549	0.202222676	-0.16992897	0.210540488	0.14012869	0.302977529	0.067592401	0.620618776
Stromal_COL16A1	-0.228416256	0.09041292	0.473603266	0.000227186	0.591804764	1.56E-06	0.115770462	0.395509106	-0.081536259	0.550243212	-0.155885886	0.251273124
Stromal_LRRC17	-0.400884291	0.002199984	0.64822829	6.61E-08	0.354636861	0.007323211	-0.084692383	0.534861629	0.052690498	0.699737752	0.019031164	0.889278966
Stromal_PCDH17	-0.035532687	0.79487373	0.183750567	0.175218661	0.677138157	1.00E-08	0.039821631	0.770751353	-0.401572478	0.002158118	0.121466091	0.372513015
Stromal_FOXF1	-0.317135085	0.01724099	0.502420646	7.96E-05	0.33830869	0.010764438	0.073821277	0.588709653	0.018680897	0.891304362	0.135965578	0.317710216
Stromal_CILP	-0.507315672	6.59E-05	0.795937844	2.28E-13	0.109001682	0.423894308	-0.215438429	0.110797287	0.118301961	0.385187051	0.109932279	0.419924565
Stromal_COL6A2	0.006515686	0.961987467	0.305348546	0.02211215	0.536261505	2.05E-05	0.292001936	0.028984844	-0.193528351	0.15296967	-0.388111192	0.003119984
Stromal_RGL1	-0.373190607	0.004613617	0.614592399	4.69E-07	0.411409162	0.001632564	0.162277861	0.232115712	-0.099605052	0.465155669	0.097969023	0.472554808
Stromal_NFATC1	0.025693475	0.850902717	0.275743161	0.039686382	0.553900063	9.49E-06	0.233994402	0.082608604	-0.182300887	0.178707389	-0.250979521	0.062071579
Stromal_COL5A1	-0.140224736	0.302642932	0.307153548	0.021298249	0.430648008	0.000922681	0.178491124	0.188114596	-0.370520141	0.004938955	0.068226009	0.617339687
Stromal_C9orf3	0.153980887	0.257184205	-0.234228795	0.082292675	-0.419086099	0.001305328	-0.063932803	0.6397002	0.078316733	0.566148682	-0.077787884	0.568781719
Stromal_COL6A1	-0.143619764	0.290969122	0.376077081	0.004283311	0.715118272	5.94E-10	0.2005782	0.138274951	-0.417351104	0.001373646	-0.209074995	0.122000285
Stromal_COL3A1	-0.029374196	0.829841503	0.177835139	0.189769559	0.689005087	4.34E-09	0.126207741	0.353997086	-0.446066928	0.000569753	-0.125170046	0.358000126
Stromal_MAFB	-0.490271963	0.000125249	0.668556164	1.79E-08	0.320579554	0.016003219	0.186633032	0.168429103	0.051045531	0.708688565	0.029433992	0.829500285
Stromal_MICALL2	0.122736302	0.367496634	-0.148996256	0.273092151	-0.006324829	0.963100143	-0.173330439	0.201416473	-0.334529285	0.011735804	-0.064455097	0.636962323
Stromal_ADAP2	-0.335902873	0.011374371	0.582720659	2.45E-06	0.479875582	0.000182231	0.226752546	0.092848884	0.048345003	0.723467682	-0.12394651	0.36275547
Stromal_TRPS1	-0.204959226	0.129691702	0.522438456	3.63E-05	0.492957681	0.000113461	0.172944436	0.202437541	-0.293289932	0.028251894	-0.003530904	0.979395342
