id	S01_MM	p.value_S01_MM	S02_MM	p.value_S02_MM	S03_MM	p.value_S03_MM	S04_MM	p.value_S04_MM	S05_MM	p.value_S05_MM	S06_MM	p.value_S06_MM	S07_MM	p.value_S07_MM	S08_MM	p.value_S08_MM	S09_MM	p.value_S09_MM	S01_Den	p.value_S01_Den	S02_Den	p.value_S02_Den	S03_Den	p.value_S03_Den	S04_Den	p.value_S04_Den	S05_Den	p.value_S05_Den	S06_Den	p.value_S06_Den	S07_Den	p.value_S07_Den	S08_Den	p.value_S08_Den	S01_PMN	p.value_S01_PMN	S02_PMN	p.value_S02_PMN	S03_PMN	p.value_S03_PMN
Epithelial_FGFBP1	-0.010422387	0.939230604	0.271559468	0.042913604	0.111736141	0.412290421	-0.093306688	0.4939819	0.207993589	0.123986766	-0.14905667	0.272895514	-0.131401853	0.334375864	-0.108580569	0.425697683	-0.033065703	0.808837273	0.030575422	0.822992934	-0.061170348	0.654259764	0.049221352	0.718660406	0.234195578	0.082337388	0.11262394	0.408562723	-0.073560702	0.590029653	0.047503346	0.728094662	-0.201116266	0.137198438	0.067170934	0.622804051	0.189898731	0.160971068	-0.194133103	0.15166561
Epithelial_GNG4	-0.201381448	0.136670203	-0.19375919	0.152470924	-0.249317364	0.063879435	-0.174114821	0.199352855	-0.297053476	0.026198576	-0.102356233	0.452855558	0.404502213	0.00198772	0.117063789	0.390215488	0.138855188	0.307436629	-0.184017046	0.174582779	-0.275131985	0.040144951	0.02148353	0.875118698	0.247606875	0.065783737	-0.278510773	0.037663573	-0.134904593	0.321536644	0.372825474	0.004656957	-0.093706444	0.49212513	0.177765037	0.189947029	-0.292890938	0.028477268	-0.025243439	0.853485256
Epithelial_CEACAM8	-0.333028329	0.012142028	-0.181879718	0.179730302	-0.240504113	0.074182869	-0.161944545	0.233089061	-0.529604809	2.70E-05	-0.27459551	0.040551062	0.562743517	6.35E-06	0.040278253	0.768195378	0.412526021	0.001580801	-0.299753593	0.024803935	-0.286768501	0.032128635	0.045358105	0.739931334	0.109356756	0.422377122	-0.516793466	4.55E-05	-0.104277235	0.444374042	0.099940898	0.46364455	-0.209310124	0.121571583	0.460499666	0.000355296	-0.44030179	0.000684103	-0.223970089	0.097036963
Epithelial_CYP2B6	-0.093670077	0.492293895	-0.382256178	0.003645417	-0.365805575	0.005562762	-0.155220955	0.253325798	-0.442795879	0.000632307	-0.146806332	0.280283524	0.382744415	0.003598793	0.18079479	0.182384787	0.145571615	0.284392764	-0.133721352	0.325838327	-0.245533216	0.068153049	-0.066179297	0.627958336	0.052946939	0.698345977	-0.489120496	0.000130637	-0.135499994	0.319385754	-0.019250057	0.888013589	-0.108071958	0.427881546	0.300480632	0.024439273	-0.420236116	0.00126174	-0.149888273	0.270198378
Epithelial_IRF7	0.151427698	0.265252584	0.045646763	0.738335061	0.311979146	0.019245822	0.259314972	0.05361642	0.137594022	0.311893933	0.302189391	0.023599948	-0.134941673	0.321402425	-0.261887913	0.05120407	-0.099059754	0.467614866	0.237517713	0.077959331	0.277966296	0.038054642	0.182146447	0.179081995	-0.05074794	0.710312087	0.182754938	0.177609333	-0.088600572	0.516111695	0.20453122	0.130512083	0.397020393	0.002448756	-0.162368974	0.231850133	0.097948498	0.472648032	0.335278337	0.011537498
Epithelial_NEU1	-0.307096245	0.021323692	-0.07889194	0.56329131	-0.254881364	0.057989125	-0.268500146	0.045407478	-0.510078802	5.92E-05	-0.397269286	0.002432008	0.672277476	1.40E-08	0.169476636	0.211775359	0.316126498	0.017618519	-0.235176955	0.081024392	-0.352813759	0.007652517	-0.036999714	0.786599995	0.376362257	0.004251837	-0.504157435	7.45E-05	0.064792725	0.635195027	0.36592637	0.005545955	-0.230004286	0.088134655	0.318456058	0.016756978	-0.41678013	0.00139682	-0.253802493	0.059095611
Epithelial_TSPAN6	-0.105103798	0.440751933	-0.065951733	0.629143665	-0.10526864	0.440031547	-0.369798239	0.005030294	-0.194920601	0.14997984	-0.411777279	0.001615338	0.350650315	0.008059969	0.327550739	0.013728904	0.193092215	0.153915267	-0.092717477	0.496725277	-0.339774297	0.010406893	-0.028541571	0.834595975	0.001142046	0.993334921	-0.25694495	0.055919347	0.174309541	0.198842906	0.020668203	0.879822409	-0.354830705	0.007288934	0.169272061	0.212335518	-0.101729888	0.455640052	-0.326027821	0.014200524
Epithelial_AZGP1	-0.414782798	0.001480666	-0.291774719	0.029115781	-0.272764282	0.041962873	-0.138258953	0.309538751	-0.593248642	1.45E-06	-0.225727218	0.094375457	0.632384732	1.71E-07	0.211772617	0.117150347	0.282944571	0.034601103	-0.368548324	0.005191953	-0.257234805	0.055633472	0.03015689	0.825377657	0.160582705	0.237095117	-0.588742928	1.82E-06	-0.095855862	0.482204289	0.290141811	0.030071394	-0.083755088	0.539407509	0.24860767	0.064664102	-0.576680332	3.29E-06	-0.083006867	0.543049827
Epithelial_SLC19A2	-0.339656051	0.010435355	-0.504371571	7.39E-05	-0.320433185	0.016054229	-0.080976112	0.552995078	-0.502640906	7.89E-05	-0.030758744	0.821948891	0.317620057	0.017061928	0.507249297	6.61E-05	-0.048083614	0.724903616	-0.391151294	0.002874578	-0.177957192	0.189460847	-0.179251185	0.186210039	-0.071151015	0.602298725	-0.342968408	0.009663073	-0.168142057	0.215448386	0.201384291	0.136664548	0.086713122	0.525125387	-0.124402794	0.360977619	-0.544939863	1.41E-05	0.010003198	0.941670426
Epithelial_GRB7	-0.298368082	0.025511553	-0.147343647	0.278507597	-0.187413953	0.166623161	-0.291751368	0.029129265	-0.565472987	5.60E-06	-0.350992565	0.007994281	0.527980179	2.89E-05	0.034248377	0.802135466	0.443047089	0.000627291	-0.188125404	0.164990224	-0.398426182	0.002355492	0.135389688	0.319783543	0.181846073	0.1798122	-0.57849225	3.02E-06	0.019439414	0.886919175	0.038403964	0.778702168	-0.34577964	0.009046969	0.45687646	0.000400802	-0.436799077	0.00076332	-0.298169439	0.025614384
Epithelial_GALNT10	0.048826801	0.72082342	0.462045353	0.000337353	0.347521429	0.00868259	0.189486572	0.16189873	0.475676225	0.000211318	0.295637511	0.026955884	-0.484318772	0.000155475	-0.204824354	0.129949797	-0.314843003	0.018109111	0.094262281	0.489549455	0.324365414	0.014731134	0.035680441	0.794039396	0.104762105	0.442247278	0.421663743	0.001209448	0.042531344	0.75561985	0.273381183	0.041482818	0.209152999	0.121857936	-0.33296627	0.012159081	0.426181893	0.001056528	0.238371577	0.076864371
Epithelial_LYPLA1	-0.366586777	0.005454853	-0.513251658	5.23E-05	-0.359007068	0.006583667	-0.111048657	0.415190453	-0.565555171	5.58E-06	-0.2172766	0.107712843	0.50965507	6.02E-05	0.377241807	0.004156045	0.182243076	0.178847548	-0.404410817	0.001992849	-0.258190397	0.054699375	-0.132539731	0.33017024	-0.028202541	0.83653361	-0.441351526	0.000661853	-0.271158699	0.043233749	0.11360077	0.404483825	-0.066320888	0.627221294	0.118294615	0.385216772	-0.55895858	7.55E-06	-0.146428012	0.281538415
Epithelial_C9orf3	0.022584262	0.868775277	-0.024419942	0.858214843	0.385445461	0.003350256	0.318540233	0.016726533	0.383609136	0.003517509	0.434195655	0.00082746	-0.355031288	0.007253614	0.303168608	0.023130018	-0.526969268	3.01E-05	0.02444207	0.858087688	0.397529138	0.002414632	0.143162794	0.292523031	-0.386598019	0.003248912	0.435911488	0.000784665	-0.041070701	0.763765418	0.083631969	0.54000603	0.406994738	0.001852309	-0.515460845	4.79E-05	0.21413908	0.11301816	0.381508707	0.003717831
Epithelial_PRMT3	-0.48975619	0.000127637	-0.517731143	4.38E-05	-0.265868641	0.047646448	-0.185243458	0.171677841	-0.65352029	4.75E-08	-0.268370643	0.04551561	0.572949007	3.94E-06	0.530135851	2.64E-05	0.086593045	0.525701465	-0.474099537	0.000223291	-0.302485833	0.023456843	-0.006211929	0.963758375	0.042103178	0.758004913	-0.561330148	6.78E-06	-0.250119548	0.063001728	0.200507549	0.13841677	-0.138743205	0.307830741	0.145592305	0.284323581	-0.635930212	1.39E-07	-0.1404772	0.30176456
Epithelial_MTCL1	-0.123998584	0.362552302	-0.112187605	0.410392369	0.274689914	0.040479354	0.224137733	0.096780545	0.14593113	0.283192202	0.371821618	0.004777963	-0.303121555	0.023152417	0.204807899	0.129981312	-0.225937916	0.094060172	-0.117451664	0.388636105	0.273806976	0.04115412	0.215898159	0.11001958	-0.374910311	0.00441423	0.226338917	0.093462387	-0.062295546	0.648313555	0.119526048	0.380253853	0.35162277	0.007874544	-0.386490789	0.003258225	0.013151021	0.923363563	0.309824553	0.020140456
Epithelial_KAZN	0.18583705	0.170284529	0.083289569	0.541672245	-0.099358421	0.466267066	0.002947041	0.982801923	0.398859417	0.002327394	0.191212602	0.158039941	-0.236292823	0.07955159	-0.256212936	0.056646604	-0.084942304	0.533652694	0.174361536	0.198706894	0.025570374	0.851608982	-0.183498075	0.175822717	0.031162564	0.819650178	0.37556036	0.004340862	0.209797717	0.120686226	0.087962298	0.51915108	0.084932805	0.53369862	-0.211207085	0.118154705	0.339271828	0.0105283	0.066981156	0.623789091
Epithelial_MUC1	0.284988633	0.033260509	0.207817447	0.124312639	0.167064437	0.218446581	0.016220436	0.905550535	0.483310316	0.000161211	0.050851695	0.7097459	-0.536335492	2.04E-05	-0.24358611	0.070439371	0.043668203	0.749298102	0.244064996	0.069871464	0.087697779	0.520413318	0.037867309	0.781717866	-0.144171009	0.289101827	0.452274029	0.000466215	0.077405116	0.570690987	-0.415207083	0.001462487	-0.127291725	0.349844963	-0.15603721	0.250807558	0.480386653	0.000178952	-0.112191842	0.410374579
Epithelial_GPR161	0.186935617	0.167727664	0.378316787	0.004041557	0.307386915	0.021194895	0.302225648	0.023582406	0.619547137	3.56E-07	0.441592735	0.000656833	-0.5815426	2.60E-06	-0.173838131	0.200079074	-0.385734823	0.003324553	0.170362506	0.209361692	0.417664141	0.001361088	0.011422215	0.933413545	-0.161421523	0.234622054	0.630473895	1.91E-07	0.092436313	0.498037159	-0.033225761	0.807929472	0.339450502	0.010484989	-0.36566167	0.005582843	0.494566688	0.000106896	0.316207907	0.017587787
Epithelial_MUC5AC	-0.096159266	0.480812466	0.090711267	0.506125083	-0.105121314	0.440675356	0.102059392	0.454174035	0.034483725	0.800803501	0.056440653	0.679484512	-0.059216647	0.66463492	0.102750478	0.451107699	-0.053835335	0.693532065	-0.103308208	0.448641384	0.068167306	0.617643184	-0.128609783	0.344836891	0.127263877	0.349951255	0.028949888	0.832263649	-0.023846264	0.861512581	0.192896863	0.154340212	0.027521862	0.840426741	-0.116713291	0.391645934	0.029614172	0.828472299	0.027004091	0.843390673
Epithelial_TOX3	-0.221329138	0.101146449	-0.486949045	0.000141381	-0.30348462	0.022980058	-0.344815297	0.009254357	-0.178619067	0.187793023	-0.283114936	0.034487682	0.06933377	0.611624535	0.431955757	0.000886489	-0.105845271	0.437516747	-0.276797317	0.038905599	-0.392171893	0.002796119	-0.196086381	0.147509852	-0.197733721	0.144071262	-0.104452962	0.443602604	-0.174612093	0.198052394	-0.078719098	0.564149198	-0.178495769	0.188102915	-0.215682983	0.110383062	-0.210957576	0.1185999	-0.295191479	0.027198209
Epithelial_MST4	-0.246920546	0.066560501	-0.430127683	0.000937447	-0.048324995	0.723577562	-0.055898603	0.682398474	-0.441883025	0.000650838	-0.117376098	0.388943505	0.276111758	0.039411917	0.489128979	0.000130597	-0.066964808	0.623873976	-0.258495955	0.054403386	-0.118693032	0.38360688	0.053619352	0.694701307	-0.16643336	0.220215855	-0.364715461	0.005716469	-0.262493424	0.050649385	0.089191422	0.513306152	0.009843201	0.942601804	-0.105394848	0.439480443	-0.412255389	0.001593208	0.030404605	0.823966026
Epithelial_PARP12	0.047845911	0.72621025	0.151948011	0.263594741	0.514632672	4.95E-05	0.288462693	0.031081227	0.235248335	0.080929541	0.291753195	0.02912821	-0.219678872	0.103781962	0.248742343	0.064514611	-0.333759363	0.011942691	0.125064308	0.358409569	0.356585242	0.006984999	0.226546788	0.093153674	-0.199781913	0.139879676	0.310705882	0.019770336	-0.027183006	0.842366243	0.163617133	0.228233058	0.326048129	0.014194145	-0.403780408	0.002028548	0.250709985	0.062361913	0.327281226	0.013811375
