id	t	df	p.value	Mean non	Mean response	Var non	Var response
CMIP	-2.65960339347286	54	0.0102758482030636	7.716829	8.096667	0.2470722	0.1580810
LAMA2	-2.6415778467679	54	0.0107713991103381	5.883415	6.396000	0.3903080	0.4798257
CTSL	-2.63586606431881	54	0.0109329231396348	8.681463	9.186667	0.3779528	0.4762381
TNFSF8	-2.62491681645263	54	0.011248757891055	4.974878	5.462000	0.3526706	0.4511743
FMO1	-2.61661337609596	54	0.0114938014990157	4.573171	5.177333	0.4645122	0.9311210
TFEC	-2.60910461024586	54	0.0117195756679802	4.011220	4.648667	0.609571	0.786841
TOX3	2.61574621563503	54	0.0115196711919814	9.450000	8.970667	0.4133650	0.2414067
MS4A7	-2.60306166388377	54	0.0119042038514818	7.494878	8.046667	0.4393106	0.6482238
CYP2B6	2.5904445414567	54	0.0122982623802493	7.200488	6.350667	1.2769798	0.9103781
MRGPRF	-2.59080403463455	54	0.0122868722223947	6.588293	7.223333	0.6279995	0.7507095
ASPHD2	-2.59939596002708	54	0.0120174886752401	6.519268	6.986000	0.4163420	0.1761114
FUT11	-2.58951786309372	54	0.0123276675424401	6.596341	7.026667	0.2893588	0.3430524
EPOR	2.59327824044802	54	0.0122087398521094	7.664634	7.304667	0.2208155	0.1852695
IFI35	-2.58641136768051	54	0.0124267097758887	7.709268	8.078000	0.1754320	0.3597171
LRRC17	-2.5650358572715	54	0.0131280816127172	4.726341	5.307333	0.5008588	0.7422067
STOM	-2.5646512219094	54	0.0131410254575548	8.540244	9.022667	0.4111074	0.3242352
EMP1	-2.52889670245164	54	0.0143961194532804	9.230000	9.806667	0.647375	0.352981
RP4-710M16.1	2.54889155293692	54	0.0136814508004179	7.228293	6.874667	0.2061895	0.2262267
GAS2	2.51834372231138	54	0.014786803104619	4.420000	3.643333	1.3460950	0.1829667
MUC1	-2.53440114101038	54	0.0141960736109286	 9.940976	10.372667	0.3811240	0.1400638
COL7A1	-2.51416581796132	54	0.0149441097079684	6.702683	7.388667	0.8353051	0.7669124
CEACAM8	2.53004274667018	54	0.0143542597479281	3.013415	2.642000	0.294638	0.071060
PRKAR2B	-2.5066246179384	54	0.0152318920849613	6.851220	7.512667	0.8391110	0.5521495
MTCL1	-2.50689330827043	54	0.015221552933152	6.550244	7.124000	0.6354024	0.4034543
MS4A14	-2.50931499283355	54	0.0151286531870351	4.846585	5.356000	0.3508180	0.7434257
CMPK2	-2.49896073994234	54	0.0155294854679741	6.592927	7.335333	0.9453212	1.0377552
LOC643733	-2.50156807763646	54	0.0154276556891189	5.120732	5.756000	0.6726970	0.8097686
KCNJ8	-2.50327559904935	54	0.0153612960277693	5.189268	5.736000	0.4055470	0.8619114
ARL4C	-2.50041123915426	54	0.0154727613284359	7.225366	7.798667	0.6482355	0.3747695
MST4	2.5072169181805	54	0.0152091089182472	8.563902	8.126667	0.3802794	0.2017381
GAMT	2.51788162613214	54	0.0148041278951378	7.947073	7.593333	0.2500712	0.1215952
FNDC3B	-2.50276647672354	54	0.0153810550537612	9.331951	9.735333	0.3203161	0.1851981
MSH5-SAPCD1	2.49310089286424	54	0.0157605639974967	5.696341	5.288000	0.3263438	0.2039600
LINC00920	2.48246318428702	54	0.0161880110396329	4.998049	4.488000	0.4361211	0.5421171
SLC19A3	2.47688652365555	54	0.0164162530332577	4.549512	4.136000	0.2968298	0.3325543
WARS	-2.47149105102453	54	0.0166398408679104	9.311951	9.752000	0.2947811	0.5006457
COL16A1	-2.45820481485052	54	0.0172021827334975	7.106341	7.702667	0.4575138	1.1855924
RGL1	-2.46631437109573	54	0.0168569417240411	7.256585	7.706000	0.3363430	0.4455543
FCGR1B	-2.45560748930882	54	0.0173140967841554	5.669024	6.288667	0.6318740	0.8918695
COL6A3	-2.43888069566716	54	0.0180506804387882	10.59415	11.24000	0.8178499	0.6338571
FAM65C	-2.4486803030385	54	0.0176157929975788	5.736341	6.190667	0.3724138	0.3941781
FAM20A	-2.44452300428762	54	0.0177991198717859	4.026585	4.457333	0.3450830	0.3293067
LOC283177	2.43479975576629	54	0.0182346176992637	6.768780	6.302667	0.4548560	0.2528352
GSN	-2.4236241680049	54	0.0187469913575888	9.264146	9.898000	0.8662349	0.4223886
SNX24	-2.42493341250889	54	0.0186863034067941	6.223902	6.716000	0.5257094	0.2424114
HLX	-2.42679922299751	54	0.0186001219785379	5.859512	6.316667	0.3346048	0.5471667
KIT	-2.40588583482614	54	0.0195868652414013	6.609756	7.302000	0.8164174	1.1742600
ADAMTS2	-2.39604755904554	54	0.020067113181153	6.626829	7.575333	1.837657	1.387598
IFIT1	-2.39266582307771	54	0.0202346135264158	6.421463	7.300000	1.168178	2.373300
AGPAT4	-2.40221165679793	54	0.0197649970270852	4.752439	5.224000	0.3598389	0.6042114
CTSE	-2.38657138687823	54	0.0205396447954207	7.433415	8.442000	2.106358	1.547189
CCR2	-2.37979638161704	54	0.0208835712173894	5.585610	6.243333	0.9003102	0.6633238
RBM26-AS1	2.3989968667256	54	0.0199220479275966	5.593415	5.232667	0.2498030	0.2441352
CD163	-2.37304107681045	54	0.021231624970263	7.519268	8.200000	0.798427	1.204514
GCH1	-2.38965511040383	54	0.0203847906415194	8.876829	9.253333	0.2951972	0.2081095
ZNF93	2.38557875715054	54	0.0205897151609899	6.850976	6.465333	0.2931190	0.2694838
PLAG1	2.38050817331904	54	0.0208471968309326	3.829756	3.424000	0.40026244	0.08706857
JAG1	-2.3713294456438	54	0.0213206340491118	 9.736341	10.199333	0.53069378	0.09852095
C1QC	-2.37611301096758	54	0.0210727107678128	8.559268	8.963333	0.2433920	0.5295524
TICAM2	-2.37028678472009	54	0.0213750185875573	6.422195	6.810000	0.3166626	0.2291571
FAM201A	2.37025877706364	54	0.0213764811602852	3.460488	3.087333	0.3298148	0.1075495
TYROBP	-2.35240180016312	54	0.0223274165560468	7.751707	8.270667	0.4113445	0.8862924
SLC16A9	-2.34468353537029	54	0.0227500110890352	6.969756	7.722000	1.3085574	0.6214171
GBP5	-2.35127174705835	54	0.0223888482053657	5.893415	6.402000	0.4202930	0.7810314
CPXM1	-2.33987966920846	54	0.0230166279226951	5.581951	6.179333	0.5387411	1.2217638
EPB41L5	2.35058478885756	54	0.0224262662209779	6.959512	6.566000	0.3557398	0.1707829
COL1A2	-2.32934440756373	54	0.023611128064387	11.64244	12.26933	0.7860839	0.8221781
HPSE	-2.33181753790948	54	0.0234703533256631	6.405366	6.926000	0.5581055	0.5170971
KDELR3	-2.33511827506328	54	0.0232836364862964	9.318293	9.744000	0.3789695	0.3250829
LIPA	-2.33687669264161	54	0.0231847080497302	9.606341	9.973333	0.2992038	0.1898381
PI3	-2.31008011731174	54	0.0247337082111584	10.53415	11.34267	1.6196149	0.5614924
C4A	-2.31782891600486	54	0.0242765735654135	7.809756	8.325333	0.4847274	0.7109981
SH3BP5	-2.31097256514251	54	0.0246806712167619	7.477317	7.995333	0.5695501	0.5010981
BLVRA	-2.31798490668205	54	0.0242674488119926	7.446098	7.856000	0.3738144	0.2565829
ANTXR2	-2.31360103331768	54	0.0245250526783398	8.376585	8.826667	0.3888630	0.4920524
AZGP1	2.2976560477783	54	0.0254826635338801	6.764634	5.702000	2.620970	1.571974
LOC101929880	2.29825014642366	54	0.0254463956161278	8.927073	8.324000	0.6290862	1.1193543
AIF1	-2.30530737163734	54	0.0250190721553696	8.880	9.286	0.3096250	0.4292114
SHANK3	-2.29052322050441	54	0.0259217034607549	5.571463	6.066000	0.5594778	0.3760971
SLC18A1	-2.28745809467924	54	0.0261124243289926	4.033902	4.576000	0.6574144	0.5007114
NFATC1	-2.30141775593018	54	0.025253796519045	6.059268	6.416000	0.2723870	0.2395114
TNFSF13B	-2.27704850790405	54	0.0267694779321772	7.240732	7.831333	0.600072	1.135198
OAS2	-2.27498151506425	54	0.0269016794606915	6.411707	6.977333	0.5960645	0.9154781
SAMD9L	-2.26986406643062	54	0.0272314791710016	6.901463	7.474000	0.6126028	0.9447114
AHNAK	-2.27359539406307	54	0.0269906577553527	9.490488	9.972000	0.5555298	0.3127171
CD274	-2.26908718771376	54	0.0272818583051311	5.686341	6.237333	0.6201388	0.7258781
APOE	-2.27101538337519	54	0.0271569701757734	7.614634	8.083333	0.4877105	0.4108095
HERC6	-2.2647670185912	54	0.0275635240056245	6.583171	7.098667	0.4619572	0.8747267
ITLN1	-2.25099275535222	54	0.0284788650344818	 9.477317	11.176667	6.821705	4.651238
ERG	-2.25818299655647	54	0.0279977473366172	5.066585	5.618000	0.6148230	0.7691171
MUC5AC	-2.25371039380471	54	0.0282961668805781	6.035366	6.688000	0.8510555	1.1206029
PDGFRL	-2.25037968052821	54	0.0285202241975136	4.980976	5.596000	0.7743590	0.9514686
AL132709.8	-2.26278588309549	54	0.0276935498037664	3.794878	4.185333	0.2631506	0.5094124
MAFB	-2.2501181165771	54	0.0285378859638901	8.215854	8.801333	0.6731199	0.9447124
NREP	-2.25884784546404	54	0.0279536263743673	8.700	9.118	0.3943100	0.3239457
RP3-508I15.21	-2.25697727011589	54	0.0280779196568647	5.211707	5.597333	0.2569645	0.5024210
LYPLA1	2.25003725382137	54	0.0285433480756914	9.866585	9.445333	0.446573	0.208841
SDR16C5	-2.2352758904147	54	0.0295560846453587	6.889512	7.730667	1.8548048	0.6990495
CD14	-2.24593161254618	54	0.0288218949088599	8.48439	8.94200	0.4150502	0.5726743
PCDH17	-2.23698507785727	54	0.0294372177486495	6.413902	6.900667	0.5107844	0.5463067
LOC728613	2.22711986410502	54	0.0301291647225022	8.556341	7.932000	0.9561338	0.5971600
FMR1	2.23377893070775	54	0.0296605403396475	8.762439	8.334667	0.4467489	0.2770267
KIF26A	-2.23922810321254	54	0.0292818660752687	5.942439	6.310000	0.2265739	0.4939857
IFIT5	-2.23349110216671	54	0.0296806619618783	7.188537	7.570667	0.2954028	0.3959495
CLEC11A	-2.22367308159451	54	0.0303742875411283	6.173171	6.614000	0.4618772	0.3451114
PILRA	-2.22436907923063	54	0.0303246492589585	5.384146	5.794000	0.2766149	0.6477971
TRPS1	-2.22352276891848	54	0.0303850171991601	6.665122	7.082000	0.3939706	0.3633457
CCR1	-2.21487711716183	54	0.031007822658359	6.664146	7.230667	0.4820249	1.3940924
FRMD3	-2.20832301886859	54	0.0314874374876702	7.057317	7.995333	2.463855	0.603141
CCNYL1	-2.22784032111481	54	0.0300781497433307	7.448780	7.802667	0.2929760	0.2317638
FAM111B	2.22492080403737	54	0.0302853513738671	5.678049	5.322667	0.2971311	0.2317781
ELOVL7	-2.21894777014089	54	0.0307131960395094	7.743415	8.150667	0.3969430	0.2927495
KCNH8	2.21414945182632	54	0.0310607516969792	3.968049	3.514667	0.4815861	0.4001410
THSD7A	-2.21499531082322	54	0.0309992329850058	4.720244	5.104000	0.3372074	0.3080543
PTGFR	-2.2082066185902	54	0.0314960142005915	4.785122	5.229333	0.3521256	0.7080924
SLAMF8	-2.20099503476053	54	0.0320314175029074	6.209512	6.748000	0.5867198	0.8591743
IFIT3	-2.1851233085909	54	0.0332380918906804	7.639756	8.294000	0.8048374	1.4978114
COL3A1	-2.19000687318213	54	0.0328626200394191	11.99829	12.48800	0.5231145	0.6234314
ALPK2	-2.19218526813922	54	0.032696341886046	4.204390	4.650667	0.4934502	0.3456638
COL5A1	-2.17983061354838	54	0.0336492755500044	8.458293	9.084000	0.8624095	1.0261686
C1QA	-2.17853636336992	54	0.0337505023507649	8.188537	8.687333	0.4624178	0.8994067
CD109	-2.17153026947559	54	0.0343031270581978	5.802683	6.529333	1.258440	1.147664
SLC19A2	2.18451519927599	54	0.0332851094483377	6.886585	6.500000	0.4097580	0.1558429
TAC1	2.16758560297675	54	0.0346177576874192	4.185122	3.164000	2.9572906	0.9511971
FGFBP1	-2.17366424904508	54	0.0341339677828428	6.804146	7.360667	0.7186749	0.7233495
KANK2	-2.17527722498447	54	0.0340065948910779	7.83122	8.27600	0.4225110	0.5638114
MAP4K3	2.17707720949611	54	0.0338649476224885	6.980488	6.620667	0.3168098	0.2519495
TWIST2	-2.16345899149092	54	0.0349496093335009	4.911463	5.431333	0.5835278	0.7787124
ESM1	2.15888638729153	54	0.0353205842383203	5.299268	4.731333	0.8880920	0.3940981
AF070581	-2.17158751178615	54	0.0342985799013768	2.89122	3.24800	0.233396	0.476560
TFF1	-2.15257451726449	54	0.035838338220022	10.66902	11.48467	1.9295090	0.5689695
PRMT3	2.15783048653701	54	0.0354067386728719	7.196341	6.706667	0.6257838	0.3934381
MEOX1	-2.15291607987581	54	0.0358101509645792	5.012439	5.484000	0.4665639	0.6991971
AGPAT9	-2.14711259894162	54	0.0362917290616806	6.061951	6.686000	1.1012111	0.4320114
CKAP4	-2.15184747533223	54	0.0358984016973265	 9.689756	10.136000	0.4859524	0.4332543
ECHDC3	-2.14330733741928	54	0.0366105643525238	5.168537	5.782667	0.8093828	1.1652781
TIE1	-2.14023672143523	54	0.0368696307875487	4.816098	5.348667	0.6305494	0.8213267
ISG20	-2.14408143645359	54	0.0365455060996621	8.384634	8.810000	0.4565455	0.3628143
FAM107B	-2.13846998841995	54	0.03701941539837	8.290244	8.758667	0.6071924	0.2976267
MIR22	-2.13673835105406	54	0.0371667411386741	7.926829	8.428000	0.5862472	0.6553600
LOC284926	2.14215850131877	54	0.0367073038939847	5.310732	4.900667	0.4291420	0.3261067
PDZD8	2.14020154258658	54	0.0368726080854894	8.511463	8.086000	0.4284478	0.4499114
EVPL	2.14328491111034	54	0.0366124506563156	6.762927	6.389333	0.3038012	0.4190352
MOSPD1	2.13955771692884	54	0.0369271342858102	7.280976	6.906667	0.3562840	0.2785238
ANGPTL2	-2.1276857920552	54	0.0379453033659416	7.248049	7.840000	0.8929061	0.7276000
TP53I3	-2.13465680450334	54	0.0373445156036516	8.280000	8.684667	0.4098100	0.3513838
LOC101928102	2.12597585573906	54	0.0380939563200481	5.228049	4.646667	0.7853311	0.9240095
OSBPL1A	-2.13048345726882	54	0.0377031824418505	6.836829	7.302000	0.5742922	0.3785600
XPNPEP2	2.13448979248904	54	0.0373588114501634	5.537073	5.133333	0.4488312	0.2331667
DDX60L	-2.126821051346	54	0.0380204159175005	6.860000	7.369333	0.499435	1.002421
FAM20C	-2.12692001356811	54	0.0380118133436818	6.496829	6.970667	0.4956672	0.6861781
LAMC1	-2.13461968433516	54	0.0373476925914381	8.927073	9.294000	0.3456612	0.2640114
FHL5	-2.13351115574901	54	0.0374426767785854	3.424878	3.795333	0.2568706	0.5432124
MAP1B	-2.11854109763429	54	0.0387462286213421	6.198537	6.818000	0.8145678	1.2943457
IGFBP5	-2.11798699741152	54	0.0387952296951141	8.82122	9.46400	1.1871760	0.5095686
CILP	-2.11914061600228	54	0.0386932719459758	5.853902	6.422667	0.7737344	0.8407210
EML1	-2.11788511426217	54	0.0388042454759107	5.513659	6.059333	0.6979588	0.8178352
PTPRM	-2.11603585952119	54	0.0389682068732112	6.783659	7.303333	0.6732988	0.6311667
C1QB	-2.11767556086461	54	0.0388227948979202	8.335122	8.780000	0.3827006	0.7760286
COL6A2	-2.10882376524285	54	0.0396134493356541	8.996341	9.727333	1.5109238	0.7728352
CD84	-2.11639399249933	54	0.0389364064024075	6.772927	7.193333	0.4356612	0.4267238
CCL4	-2.10600120511822	54	0.0398685010493137	7.571220	8.204667	0.756991	1.669441
CELSR3	2.11577631581296	54	0.0389912672648507	6.321463	5.930667	0.3437228	0.4630924
GPNMB	-2.10193810301869	54	0.0402381646370137	9.158293	9.867333	1.255425	1.233164
VAMP5	-2.11232652863343	54	0.0392989134408713	6.055366	6.458000	0.3404005	0.5664743
MRVI1	-2.10949971182234	54	0.0395525812349393	7.530000	7.960667	0.3953800	0.6358781
SH3PXD2B	-2.10820742323054	54	0.0396690213342927	7.552683	7.936000	0.3658551	0.3550686
CEP72	2.10038744719632	54	0.0403800300513481	5.456341	4.971333	0.6458238	0.4134552
RNF213	-2.10840225374954	54	0.0396514472453972	7.966098	8.334000	0.3134744	0.3941257
TMEM45A	-2.09568826899222	54	0.0408126109129288	6.532927	7.132667	0.8827162	0.9471210
GNG4	2.08579074568579	54	0.0417369462286777	6.280732	5.449333	1.949332	1.160707
AMOTL1	-2.08966352802014	54	0.0413731173667957	6.546585	7.098667	0.7475430	0.8208552
TNC	-2.08476376159248	54	0.0418338921182177	7.779268	8.622000	2.022032	1.144546
PDE1A	-2.08660361743429	54	0.0416603509072066	4.524634	5.085333	0.7071105	1.0383552
ZBTB46	-2.09109307061496	54	0.041239518191008	4.680244	5.124000	0.4265824	0.6888257
QPRT	2.08434741708706	54	0.0418732502461213	8.255854	7.684667	0.6839999	1.2267552
MAOB	-2.08399436834911	54	0.041906650097263	6.105122	6.574000	0.5786406	0.4910114
PRKCH	-2.08878558741682	54	0.0414553526999911	6.875854	7.265333	0.4288849	0.2473838
ACER3	-2.08924803628211	54	0.0414120181161886	7.868049	8.245333	0.3855911	0.2796838
FOXF1	-2.08295181640249	54	0.0420054150706385	7.761220	8.139333	0.3517810	0.3907638
PTGS1	-2.08305777534165	54	0.0419953679360424	6.735854	7.107333	0.3312699	0.4006781
FPR3	-2.07785320636856	54	0.0424913476945614	6.669756	7.106000	0.4652474	0.5378829
PRRX1	-2.06815982732388	54	0.0434286823448158	6.759268	7.536000	1.611737	1.369883
PAPPA	-2.06840831261957	54	0.0434044317573679	5.421951	6.083333	1.162056	1.010810
SFMBT2	-2.07761048010926	54	0.0425146025497816	4.881951	5.289333	0.4293261	0.4020067
DHRS9	-2.06476754262116	54	0.0437609262994159	8.405610	9.111333	1.351170	1.088084
HRASLS2	-2.06475969996882	54	0.0437616969663535	5.330244	6.026667	0.9314424	2.1577667
CLEC12A	-2.07414412344662	54	0.0428479126216641	4.075366	4.487333	0.2054705	1.0840352
ASRGL1	-2.06764475391728	54	0.0434789877122877	8.249268	8.712667	0.6541320	0.2587495
FAS	-2.06551863515312	54	0.0436871739265912	8.139024	8.622667	0.598119	0.613521
MFAP5	-2.05814531181044	54	0.0444158761417692	6.70561	7.56600	1.970735	1.772054
GABRE	2.05924342164051	54	0.0443066866781435	7.091707	6.457333	1.2301245	0.5053781
ISL1	-2.055461148963	54	0.0446837561604977	5.505854	6.191333	1.18802	1.31677
LATS2	-2.06433780518705	54	0.0438031722919608	7.707561	8.101333	0.3973239	0.4060695
CD69	-2.0534225815765	54	0.0448881405306827	4.915610	5.592667	0.8294002	2.2354638
RP11-305O6.3	-2.05122389137111	54	0.0451094865104964	3.924878	4.466667	0.5410456	1.4093524
C3AR1	-2.06121566206593	54	0.0441111634802462	7.722195	8.084000	0.3408976	0.3311400
RUNX1T1	-2.04818603561792	54	0.0454168687043482	5.464146	6.067333	0.8925049	1.1238067
LY6G6D	2.04240481272955	54	0.0460068503425262	7.079268	5.878667	3.777697	3.844084
PCOLCE	-2.05070023668693	54	0.0451623429989525	8.333171	8.810667	0.5659372	0.6796495
TRIM36	-2.0480132162252	54	0.0454344096708788	5.646341	6.192000	0.9473638	0.3002171
PXDN	-2.04651367361349	54	0.0455868580411995	7.967805	8.524667	0.7693676	0.9381124
LINC00261	-2.04077989718347	54	0.0461738651066953	7.756829	8.638667	2.120082	1.851912
LPPR4	-2.05069631438508	54	0.0451627391094198	3.530000	3.951333	0.3596100	0.7606838
MBOAT2	-2.05409090938002	54	0.0448210456588874	7.800732	8.176667	0.4646320	0.0913381
AHNAK2	-2.04350087366771	54	0.0458944887749526	6.166829	6.767333	0.9845872	0.8448210
ST3GAL4	-2.04387313701032	54	0.0458563806687968	6.742927	7.264000	0.7420912	0.6329686
PLEK	-2.04435942966828	54	0.0458066408071548	7.178293	7.685333	0.5337945	1.0805695
SPINK5	-2.03562587863897	54	0.0467070905711657	8.368049	9.495333	3.211146	3.815741
MS4A6A	-2.04999354015222	54	0.0452337603909633	8.360000	8.740667	0.3066400	0.5845067
ID3	-2.04826865565731	54	0.0454084849398303	9.061463	9.454000	0.4481178	0.2754114
RPL29P7	2.04593632491763	54	0.0456456712040656	5.776585	5.363333	0.4009480	0.5826524
ZNF521	-2.04117751696579	54	0.0461329478682038	4.223902	4.730000	0.6636244	0.7080429
LTBP1	-2.04351578709807	54	0.0458929615797282	8.174878	8.584667	0.5011556	0.2715267
TRIM13	-2.04265193428053	54	0.0459814961560542	7.974634	8.378000	0.55145549	0.07623143
IL18BP	-2.04529799595235	54	0.0457107727671031	6.506098	6.874667	0.3113644	0.4859410
SOBP	-2.03266681019378	54	0.0470156310073475	5.667317	6.157333	0.6485051	0.6088638
HERC5	-2.03079781201287	54	0.0472114172434548	5.29122	5.77200	0.5019260	0.9401029
CCL8	-2.02204747858539	54	0.0481374570977771	5.662439	6.448000	1.872189	1.044260
RPS4XP3	2.03024935760835	54	0.0472690039889297	4.964146	4.552667	0.4586699	0.4295210
CFD	-2.02091231618122	54	0.0482587323658201	7.830732	8.446000	1.1839720	0.5435543
AC006026.13	2.0222780240987	54	0.0481128589086296	5.230732	4.752667	0.6451570	0.5239495
MX2	-2.02142289608289	54	0.0482041518686278	6.922439	7.406667	0.5038889	0.9910524
IFI44L	-2.01450613703867	54	0.0489480942972983	5.535610	6.351333	1.44200	2.82547
SRGAP2B	-2.02427759794061	54	0.047899968199665	5.226341	5.598667	0.3364588	0.4717267
PIK3R5	-2.02243615577292	54	0.0480959932335961	5.486585	5.876000	0.3133880	0.6750686
BCAT1	-2.00859592672697	54	0.0495916038992911	5.487805	6.292000	1.766838	1.742217
RP3-428L16.2	-2.01059763040653	54	0.0493728442196879	4.454146	5.072667	0.8909949	1.4630638
LGALS1	-2.01964098247224	54	0.0483948686183104	10.96122	11.35267	0.4155960	0.4038781
KAZN	-2.02165938527139	54	0.0481788894713189	7.250244	7.616667	0.4266074	0.1726810
NEXN	-2.00321971691456	54	0.0501832929844361	5.587805	6.192000	0.8961226	1.2931029
NAV3	-2.00972356824859	54	0.0494682650675789	4.118049	4.516667	0.2839511	0.8551667
LOXL1	-2.00423741881199	54	0.050070823367537	6.717073	7.196667	0.6281762	0.6307095
ITGA8	-2.00289375706211	54	0.0502193618819322	6.550244	7.064000	0.4462724	1.5120257
THBS2	-1.99297332042759	54	0.0513278349823543	7.072195	8.090000	2.987203	2.513014
TUBB6	-2.00220851200445	54	0.0502952601094802	8.009512	8.439333	0.5161548	0.4774067
CD86	-1.9996316059589	54	0.0505815652045741	6.356098	6.768000	0.3942294	0.6710171
EMB	-1.99399025727588	54	0.0512132458533048	7.567805	8.054000	0.7503476	0.3745686
IL17A	1.98834093301789	54	0.0518526109396894	4.214634	3.516000	1.7074805	0.3511114
HBG1	-1.99007366844083	54	0.0516557818104194	6.573415	7.132667	0.580268	1.687350
PARM1	-1.98578192068757	54	0.0521444800231206	 9.493902	10.186667	1.4729344	0.9469952
VASH1	-1.99692486390364	54	0.0508838059352113	6.298049	6.674000	0.3899361	0.3872829
DENND2A	-1.98814879644643	54	0.0518744762614099	6.920000	7.436667	0.7404200	0.7452381
HDAC9	-1.98840480911047	54	0.0518453435361989	5.588537	6.054667	0.5870478	0.6505838
CYBB	-1.98229628431965	54	0.0525443068347323	6.72878	7.43200	1.391296	1.355731
TFF2	-1.97935107446001	54	0.0528841935855383	6.347805	6.968667	0.8198726	1.8252124
RAB31	-1.97918323088889	54	0.0529036200280341	8.186098	8.777333	1.0034794	0.9130067
IGFBP6	-1.98044969390295	54	0.0527571891362578	6.872927	7.349333	0.4427712	1.1861495
CREM	-1.98446365556358	54	0.0522953856507447	6.889024	7.265333	0.2824190	0.7162838
MMP2	-1.97400811200778	54	0.0535056105050678	9.379024	9.912667	0.7661940	0.9065495
