ID	S01_Fib	S02_Fib	S03_Fib	S04_Fib	S05_Fib	S06_Fib	S07_Fib	S08_Fib	S01_End	S02_End	S03_End	S04_End	S05_End	S06_End	S07_End	S08_End
GSM3374367_non	0.002204539	1.26E-14	0.006552842	0.097930205	0.020074292	0.080225637	0.002726466	0.118178681	0.002204539	1.26E-14	0.006552842	0.097930205	0.020074292	0.080225637	0.002726466	0.118178681
GSM3374371_non	0.112643411	0.010625061	0.03801321	0.03497702	0.147225581	0.255828065	0.014866462	0.11489033	0.112643411	0.010625061	0.03801321	0.03497702	0.147225581	0.255828065	0.014866462	0.11489033
GSM3374372_non	0.119027503	0.018672329	0.061774018	0.019372464	0.071042406	0.293628491	0.005550532	0.127594381	0.119027503	0.018672329	0.061774018	0.019372464	0.071042406	0.293628491	0.005550532	0.127594381
GSM3374373_non	0.130062831	0.021651815	0.000512563	0.01307059	0.106906954	0.239334175	7.53E-07	0.060852852	0.130062831	0.021651815	0.000512563	0.01307059	0.106906954	0.239334175	7.53E-07	0.060852852
GSM3374374_non	0.074115836	0.004555125	0.037308515	0.044501247	0.202672342	0.160324141	5.98E-06	0.134424109	0.074115836	0.004555125	0.037308515	0.044501247	0.202672342	0.160324141	5.98E-06	0.134424109
GSM3374375_non	0.094016558	0.046675905	0.009064874	0.015816693	0.115826642	0.155662727	0.047311786	0.172339491	0.094016558	0.046675905	0.009064874	0.015816693	0.115826642	0.155662727	0.047311786	0.172339491
GSM3374376_non	0.126870464	2.37E-09	0.114431485	0.03313674	0.121166824	0.27302012	0.001952279	0.118689513	0.126870464	2.37E-09	0.114431485	0.03313674	0.121166824	0.27302012	0.001952279	0.118689513
GSM3374377_non	0.111278073	0.011912322	0.003463649	7.54E-15	0.100925284	0.295776341	0.010189975	0.10858765	0.111278073	0.011912322	0.003463649	7.54E-15	0.100925284	0.295776341	0.010189975	0.10858765
GSM3374378_non	0.096113002	0.037309443	0.022475348	0.001755489	0.173862535	0.215489416	0.083418406	0.159910206	0.096113002	0.037309443	0.022475348	0.001755489	0.173862535	0.215489416	0.083418406	0.159910206
GSM3374379_non	0.061232049	0.002168803	0.111686055	0.019418307	0.090852674	0.149464675	1.11E-14	0.1931653	0.061232049	0.002168803	0.111686055	0.019418307	0.090852674	0.149464675	1.11E-14	0.1931653
GSM3374380_non	0.141326335	0.003490804	0.034340097	0.006583396	0.100513604	0.244469952	0.128099326	0.163099361	0.141326335	0.003490804	0.034340097	0.006583396	0.100513604	0.244469952	0.128099326	0.163099361
GSM3374381_non	0.010955987	0.095806783	0.002581946	0.221421316	0.07979409	0.015698905	0.036119621	9.45E-15	0.010955987	0.095806783	0.002581946	0.221421316	0.07979409	0.015698905	0.036119621	9.45E-15
GSM3374382_non	1.01E-14	0.131314263	0.030280212	0.22059392	0.017732399	0.009116753	0.0401394	0.012468278	1.01E-14	0.131314263	0.030280212	0.22059392	0.017732399	0.009116753	0.0401394	0.012468278
GSM3374384_non	0.057679929	0.014152681	1.26E-13	0.164041779	0.11071715	0.100159297	0.009637771	0.037980509	0.057679929	0.014152681	1.26E-13	0.164041779	0.11071715	0.100159297	0.009637771	0.037980509
GSM3374387_non	0.034777077	9.41E-15	0.004571266	0.185803458	0.088717274	0.044617141	0.024620174	0.09902489	0.034777077	9.41E-15	0.004571266	0.185803458	0.088717274	0.044617141	0.024620174	0.09902489
GSM3374388_non	0.000559156	0.109919072	0.390475531	0.090631105	0.032119195	0.006692925	0.117758471	0.061642482	0.000559156	0.109919072	0.390475531	0.090631105	0.032119195	0.006692925	0.117758471	0.061642482
GSM3374392_non	0.085670609	0.005928656	0.059673542	0.112107763	0.026889268	0.160231635	1.26E-14	0.06034832	0.085670609	0.005928656	0.059673542	0.112107763	0.026889268	0.160231635	1.26E-14	0.06034832
GSM3374394_non	0.046127431	0.070388661	1.26E-14	0.101036486	0.056177593	0.046815266	0.029591393	0.014777177	0.046127431	0.070388661	1.26E-14	0.101036486	0.056177593	0.046815266	0.029591393	0.014777177
GSM3374398_non	0.006164072	9.57E-15	9.57E-15	0.143703887	0.036439049	0.028959345	0.000873164	0.042100968	0.006164072	9.57E-15	9.57E-15	0.143703887	0.036439049	0.028959345	0.000873164	0.042100968
GSM3374400_non	0.077740594	0.019688589	0.001490207	0.083849933	0.036835128	0.11454958	0.018239647	0.171234822	0.077740594	0.019688589	0.001490207	0.083849933	0.036835128	0.11454958	0.018239647	0.171234822
GSM3374402_non	0.084869697	0.003992518	0.090927182	0.115385278	0.065195916	0.14970949	1.36E-14	0.085821721	0.084869697	0.003992518	0.090927182	0.115385278	0.065195916	0.14970949	1.36E-14	0.085821721
GSM3374403_non	0.058204345	0.006251494	0.082984149	0.099456125	0.048904227	0.093084537	1.45E-14	0.109641837	0.058204345	0.006251494	0.082984149	0.099456125	0.048904227	0.093084537	1.45E-14	0.109641837
GSM3374404_non	0.012787215	0.010822893	1.08E-14	0.163769382	0.070193448	0.034238675	0.015659337	0.008153863	0.012787215	0.010822893	1.08E-14	0.163769382	0.070193448	0.034238675	0.015659337	0.008153863
GSM3374405_non	0.042082083	0.192383535	0.128977306	0.06925455	0.050343322	0.05983135	0.155542931	0.038503826	0.042082083	0.192383535	0.128977306	0.06925455	0.050343322	0.05983135	0.155542931	0.038503826
GSM3374406_non	0.019683817	0.166455409	0.004037665	0.118346169	0.108286428	0.061947933	0.084942428	1.41E-06	0.019683817	0.166455409	0.004037665	0.118346169	0.108286428	0.061947933	0.084942428	1.41E-06
GSM3374407_non	0.033643676	0.09402958	0.064965963	0.123639724	0.047866568	0.039634299	0.111022715	1.33E-14	0.033643676	0.09402958	0.064965963	0.123639724	0.047866568	0.039634299	0.111022715	1.33E-14
GSM3374408_non	0.04389947	0.164445517	0.207306094	0.006607914	0.009516576	0.094356706	0.195201362	0.117775932	0.04389947	0.164445517	0.207306094	0.006607914	0.009516576	0.094356706	0.195201362	0.117775932
GSM3374409_non	0.081549746	7.29E-06	0.006809744	0.056995246	0.100841148	0.169252533	0.037129745	0.070870959	0.081549746	7.29E-06	0.006809744	0.056995246	0.100841148	0.169252533	0.037129745	0.070870959
GSM3374410_non	0.029268633	0.068796018	0.154701481	0.043554339	0.093882796	0.08474728	0.127351057	0.131607663	0.029268633	0.068796018	0.154701481	0.043554339	0.093882796	0.08474728	0.127351057	0.131607663
GSM3374411_non	0.042900482	0.247630575	1.91E-11	0.104704596	0.105343786	0.079698669	0.049742076	0.010622644	0.042900482	0.247630575	1.91E-11	0.104704596	0.105343786	0.079698669	0.049742076	0.010622644
